date,source,target
2011-01-27,389,23
2011-01-27,389,126
2011-01-27,389,293
2011-01-28,91,532
2011-01-28,532,91
2011-01-29,91,769
2011-01-29,113,769
2011-01-29,113,1127
2011-01-29,769,91
2011-01-31,4,768
2011-01-31,768,2
2011-01-31,768,4
2011-02-01,23,710
2011-02-01,44,1087
2011-02-01,74,1087
2011-02-01,126,293
2011-02-01,1087,44
2011-02-01,1087,74
2011-02-02,2,54
2011-02-02,2,74
2011-02-02,2,1209
2011-02-02,1209,2
2011-02-03,4,1909
2011-02-03,293,2
2011-02-03,293,74
2011-02-03,293,91
2011-02-03,293,113
2011-02-03,293,126
2011-02-03,293,389
2011-02-03,293,402
2011-02-03,293,439
2011-02-03,293,7400
2011-02-03,1909,4
2011-02-04,31,379
2011-02-04,40,45
2011-02-04,45,40
2011-02-04,989,40
2011-02-05,131,74
2011-02-05,131,145
2011-02-05,131,561
2011-02-05,145,131
2011-02-05,561,131
2011-02-07,54,148
2011-02-07,121,512
2011-02-07,148,54
2011-02-07,512,121
2011-02-08,148,439
2011-02-08,249,402
2011-02-08,379,31
2011-02-08,379,40
2011-02-08,439,148
2011-02-09,148,270
2011-02-09,148,768
2011-02-09,270,148
2011-02-09,446,2
2011-02-09,768,148
2011-02-10,4,2103
2011-02-10,40,2103
2011-02-10,45,768
2011-02-10,402,249
2011-02-10,446,768
2011-02-10,768,45
2011-02-10,768,446
2011-02-10,2103,4
2011-02-10,2103,40
2011-02-11,4,23
2011-02-11,4,237
2011-02-11,23,768
2011-02-12,148,119
2011-02-12,148,1409
2011-02-12,237,4
2011-02-12,237,270
2011-02-12,270,237
2011-02-12,512,148
2011-02-12,1409,148
2011-02-13,2,379
2011-02-13,54,466
2011-02-13,148,466
2011-02-13,223,379
2011-02-13,379,2
2011-02-13,379,223
2011-02-13,379,466
2011-02-13,379,1209
2011-02-13,466,54
2011-02-13,466,148
2011-02-13,466,379
2011-02-14,109,148
2011-02-14,148,109
2011-02-14,270,379
2011-02-14,379,270
2011-02-14,1401,148
2011-02-15,2,2698
2011-02-15,23,1919
2011-02-15,40,1226
2011-02-15,74,131
2011-02-15,119,148
2011-02-15,460,54
2011-02-15,1226,40
2011-02-15,2698,2
2011-02-16,40,1919
2011-02-16,44,711
2011-02-16,54,379
2011-02-16,109,379
2011-02-16,131,148
2011-02-16,148,131
2011-02-16,148,840
2011-02-16,148,1401
2011-02-16,148,7327
2011-02-16,152,1628
2011-02-16,379,54
2011-02-16,379,109
2011-02-16,379,1230
2011-02-16,512,152
2011-02-16,840,148
2011-02-16,1230,379
2011-02-16,1628,152
2011-02-16,1919,40
2011-02-16,7327,1401
2011-02-17,4,710
2011-02-17,40,1600
2011-02-17,148,152
2011-02-17,152,148
2011-02-17,710,4
2011-02-17,1600,40
2011-02-18,2,446
2011-02-18,2,769
2011-02-18,23,935
2011-02-18,40,148
2011-02-18,148,40
2011-02-18,711,44
2011-02-18,769,2
2011-02-18,935,23
2011-02-19,4,1270
2011-02-19,119,769
2011-02-19,148,512
2011-02-19,152,769
2011-02-19,460,512
2011-02-19,460,769
2011-02-19,512,460
2011-02-19,769,119
2011-02-19,769,152
2011-02-19,769,460
2011-02-19,1270,4
2011-02-20,44,148
2011-02-20,148,44
2011-02-21,2,4
2011-02-21,4,2
2011-02-21,40,851
2011-02-21,54,152
2011-02-21,148,1600
2011-02-21,152,54
2011-02-21,851,40
2011-02-21,1600,148
2011-02-22,223,251
2011-02-22,251,223
2011-02-22,1401,40
2011-02-23,54,531
2011-02-23,531,54
2011-02-23,531,7327
2011-02-23,7327,531
2011-02-24,40,234
2011-02-24,234,40
2011-02-24,379,44
2011-02-25,23,44
2011-02-25,23,2438
2011-02-25,40,1077
2011-02-25,45,531
2011-02-25,106,297
2011-02-25,131,531
2011-02-25,148,1913
2011-02-25,297,106
2011-02-25,531,45
2011-02-25,531,131
2011-02-25,531,840
2011-02-25,840,531
2011-02-25,1913,148
2011-02-25,2438,23
2011-02-26,4,531
2011-02-26,109,1270
2011-02-26,297,1212
2011-02-26,1270,109
2011-02-26,1270,1921
2011-02-26,1921,1270
2011-02-27,108,109
2011-02-27,109,108
2011-02-27,152,626
2011-02-27,626,152
2011-02-27,1401,2
2011-02-27,1401,7552
2011-02-27,7552,1401
2011-02-28,2,312
2011-02-28,23,1226
2011-02-28,54,840
2011-02-28,109,223
2011-02-28,223,109
2011-02-28,531,774
2011-02-28,774,531
2011-02-28,840,54
2011-02-28,1077,40
2011-02-28,1226,23
2011-03-01,109,1099
2011-03-01,139,148
2011-03-01,145,223
2011-03-01,145,1099
2011-03-01,148,139
2011-03-01,148,1099
2011-03-01,223,145
2011-03-01,1099,109
2011-03-01,1099,145
2011-03-01,1099,148
2011-03-02,4,193
2011-03-02,4,512
2011-03-02,45,466
2011-03-02,193,4
2011-03-02,251,4
2011-03-02,466,45
2011-03-02,512,4
2011-03-03,4,250
2011-03-03,4,1908
2011-03-03,250,4
2011-03-03,1212,297
2011-03-03,1908,4
2011-03-04,4,1816
2011-03-04,44,1076
2011-03-04,512,109
2011-03-04,1076,44
2011-03-04,1816,4
2011-03-06,44,131
2011-03-06,44,379
2011-03-06,44,1131
2011-03-06,131,44
2011-03-06,1131,44
2011-03-07,23,139
2011-03-07,44,106
2011-03-07,54,2
2011-03-07,106,44
2011-03-07,139,23
2011-03-07,165,223
2011-03-07,223,165
2011-03-07,379,4
2011-03-08,23,108
2011-03-09,4,1
2011-03-09,4,2439
2011-03-09,23,1398
2011-03-09,23,1601
2011-03-09,108,1601
2011-03-09,1398,23
2011-03-09,1601,23
2011-03-09,1601,108
2011-03-09,2439,4
2011-03-10,23,99
2011-03-10,23,1131
2011-03-10,99,23
2011-03-10,2440,7552
2011-03-10,7552,2440
2011-03-12,4,840
2011-03-12,23,84
2011-03-12,23,1078
2011-03-12,840,4
2011-03-12,1078,23
2011-03-13,4,468
2011-03-13,84,148
2011-03-13,148,84
2011-03-13,468,4
2011-03-15,1,4
2011-03-15,4,379
2011-03-15,4,7550
2011-03-15,16,768
2011-03-15,23,2441
2011-03-15,466,23
2011-03-15,466,654
2011-03-15,606,1601
2011-03-15,654,466
2011-03-15,768,16
2011-03-15,1601,606
2011-03-16,23,1401
2011-03-16,419,606
2011-03-16,468,7552
2011-03-16,606,419
2011-03-16,841,4
2011-03-16,1401,4
2011-03-16,1401,23
2011-03-17,4,2442
2011-03-17,23,153
2011-03-17,2442,4
2011-03-18,23,466
2011-03-18,223,466
2011-03-18,466,223
2011-03-19,4,419
2011-03-20,152,153
2011-03-21,4,249
2011-03-21,4,841
2011-03-21,562,4
2011-03-22,10,468
2011-03-22,16,1910
2011-03-22,44,152
2011-03-22,152,44
2011-03-22,249,4
2011-03-22,468,10
2011-03-22,710,23
2011-03-22,1910,16
2011-03-23,16,842
2011-03-23,23,842
2011-03-23,23,1911
2011-03-23,44,23
2011-03-23,152,7552
2011-03-23,234,1910
2011-03-23,270,436
2011-03-23,419,4
2011-03-23,436,270
2011-03-23,842,4
2011-03-23,842,16
2011-03-23,842,23
2011-03-23,842,99
2011-03-23,842,148
2011-03-23,842,153
2011-03-23,1911,23
2011-03-24,1,379
2011-03-24,4,842
2011-03-24,63,223
2011-03-24,99,842
2011-03-24,145,298
2011-03-24,223,63
2011-03-24,223,711
2011-03-24,711,223
2011-03-25,91,152
2011-03-25,145,7327
2011-03-25,152,91
2011-03-25,298,1210
2011-03-25,711,16
2011-03-25,1077,389
2011-03-25,1210,298
2011-03-26,23,908
2011-03-26,23,1080
2011-03-26,99,562
2011-03-26,153,842
2011-03-26,908,23
2011-03-26,1080,23
2011-03-27,353,379
2011-03-27,353,1212
2011-03-27,1212,353
2011-03-27,1212,2444
2011-03-28,2,148
2011-03-28,2,469
2011-03-28,2,986
2011-03-28,2,1603
2011-03-28,16,1212
2011-03-28,23,2
2011-03-28,23,4
2011-03-28,23,500
2011-03-28,91,54
2011-03-28,99,2
2011-03-28,99,353
2011-03-28,353,99
2011-03-28,986,2
2011-03-28,1212,16
2011-03-28,1603,2
2011-03-28,1603,153
2011-03-29,23,298
2011-03-29,23,401
2011-03-29,1603,297
2011-03-30,23,138
2011-03-30,23,1402
2011-03-30,1078,1908
2011-03-30,1402,23
2011-03-30,1908,1078
2011-03-31,2,44
2011-03-31,4,1602
2011-03-31,44,2
2011-03-31,99,106
2011-03-31,250,2
2011-03-31,419,1214
2011-03-31,1214,419
2011-03-31,1602,4
2011-03-31,7552,152
2011-04-01,23,1400
2011-04-01,419,987
2011-04-01,987,419
2011-04-01,1400,23
2011-04-02,16,44
2011-04-02,44,16
2011-04-02,311,4
2011-04-02,365,4
2011-04-03,16,1914
2011-04-03,16,2445
2011-04-03,91,438
2011-04-03,152,988
2011-04-03,438,45
2011-04-03,438,91
2011-04-03,988,152
2011-04-03,1914,16
2011-04-03,2445,16
2011-04-04,2,45
2011-04-04,4,40
2011-04-04,4,54
2011-04-04,4,91
2011-04-04,4,119
2011-04-04,4,380
2011-04-04,4,7552
2011-04-04,16,145
2011-04-04,23,656
2011-04-04,45,2
2011-04-04,54,4
2011-04-04,54,23
2011-04-04,54,293
2011-04-04,54,7552
2011-04-04,91,223
2011-04-04,145,16
2011-04-04,145,54
2011-04-04,223,91
2011-04-04,354,1402
2011-04-04,419,771
2011-04-04,656,23
2011-04-04,771,419
2011-04-04,1400,7552
2011-04-04,1402,354
2011-04-04,7550,4
2011-04-04,7552,1400
2011-04-05,1,846
2011-04-05,2,200
2011-04-05,2,2446
2011-04-05,16,607
2011-04-05,16,710
2011-04-05,23,844
2011-04-05,152,251
2011-04-05,251,45
2011-04-05,251,152
2011-04-05,251,354
2011-04-05,251,7550
2011-04-05,354,251
2011-04-05,401,23
2011-04-05,607,23
2011-04-05,710,16
2011-04-05,710,769
2011-04-05,844,23
2011-04-05,846,1
2011-04-05,2446,2
2011-04-05,7550,251
2011-04-06,1,1606
2011-04-06,23,503
2011-04-06,23,607
2011-04-06,23,847
2011-04-06,63,224
2011-04-06,200,607
2011-04-06,200,847
2011-04-06,224,63
2011-04-06,380,119
2011-04-06,419,531
2011-04-06,531,419
2011-04-06,607,200
2011-04-06,847,23
2011-04-06,847,200
2011-04-06,1606,1
2011-04-07,23,437
2011-04-07,23,2447
2011-04-07,437,23
2011-04-07,2447,23
2011-04-07,3480,712
2011-04-08,2,503
2011-04-08,2,987
2011-04-08,4,223
2011-04-08,23,129
2011-04-08,23,501
2011-04-08,23,2443
2011-04-08,44,501
2011-04-08,99,503
2011-04-08,149,419
2011-04-08,200,503
2011-04-08,223,4
2011-04-08,419,149
2011-04-08,501,23
2011-04-08,501,44
2011-04-08,503,2
2011-04-08,503,16
2011-04-08,503,23
2011-04-08,503,99
2011-04-08,503,200
2011-04-08,531,4
2011-04-08,844,851
2011-04-08,987,2
2011-04-08,2443,23
2011-04-09,45,353
2011-04-09,113,1607
2011-04-09,1607,113
2011-04-09,1607,1916
2011-04-09,1916,1607
2011-04-10,2,504
2011-04-10,2,7401
2011-04-10,4,7401
2011-04-10,504,2
2011-04-11,16,771
2011-04-11,74,1605
2011-04-11,149,711
2011-04-11,607,131
2011-04-11,607,769
2011-04-11,771,16
2011-04-11,841,909
2011-04-11,909,841
2011-04-12,1,2448
2011-04-12,16,237
2011-04-12,23,770
2011-04-12,23,843
2011-04-12,40,237
2011-04-12,63,655
2011-04-12,63,845
2011-04-12,113,502
2011-04-12,152,236
2011-04-12,236,23
2011-04-12,236,152
2011-04-12,237,16
2011-04-12,237,40
2011-04-12,237,656
2011-04-12,502,113
2011-04-12,655,63
2011-04-12,655,773
2011-04-12,656,237
2011-04-12,770,23
2011-04-12,773,655
2011-04-12,845,63
2011-04-12,2448,1
2011-04-13,2,532
2011-04-13,16,138
2011-04-13,23,773
2011-04-13,45,4
2011-04-13,106,311
2011-04-13,106,655
2011-04-13,224,234
2011-04-13,311,106
2011-04-13,655,106
2011-04-13,711,4
2011-04-13,1921,2
2011-04-14,2,1922
2011-04-14,4,437
2011-04-14,16,711
2011-04-14,23,167
2011-04-14,23,293
2011-04-14,23,504
2011-04-14,74,1402
2011-04-14,138,16
2011-04-14,366,655
2011-04-14,504,23
2011-04-14,655,366
2011-04-14,1922,2
2011-04-15,2,209
2011-04-15,2,237
2011-04-15,4,773
2011-04-15,16,655
2011-04-15,23,713
2011-04-15,23,1082
2011-04-15,109,512
2011-04-15,109,711
2011-04-15,149,237
2011-04-15,150,1081
2011-04-15,167,23
2011-04-15,209,2
2011-04-15,234,224
2011-04-15,237,2
2011-04-15,237,149
2011-04-15,237,167
2011-04-15,237,1219
2011-04-15,353,45
2011-04-15,353,119
2011-04-15,353,532
2011-04-15,419,655
2011-04-15,655,16
2011-04-15,655,45
2011-04-15,655,419
2011-04-15,713,23
2011-04-15,773,4
2011-04-15,1081,150
2011-04-15,1082,23
2011-04-15,1219,237
2011-04-16,4,771
2011-04-16,4,848
2011-04-16,16,470
2011-04-16,16,1083
2011-04-16,16,1917
2011-04-16,72,2449
2011-04-16,99,419
2011-04-16,149,2451
2011-04-16,215,322
2011-04-16,419,99
2011-04-16,419,990
2011-04-16,470,16
2011-04-16,656,209
2011-04-16,990,419
2011-04-16,1083,16
2011-04-16,1917,16
2011-04-16,2451,149
2011-04-17,4,2454
2011-04-17,16,270
2011-04-17,63,2453
2011-04-17,106,500
2011-04-17,109,500
2011-04-17,119,23
2011-04-17,129,23
2011-04-17,129,44
2011-04-17,129,656
2011-04-17,129,770
2011-04-17,145,1611
2011-04-17,152,908
2011-04-17,200,2450
2011-04-17,270,16
2011-04-17,322,215
2011-04-17,353,505
2011-04-17,500,23
2011-04-17,500,106
2011-04-17,500,109
2011-04-17,500,129
2011-04-17,505,353
2011-04-17,908,152
2011-04-17,1078,44
2011-04-17,1610,16
2011-04-17,2450,200
2011-04-17,2453,63
2011-04-18,2,420
2011-04-18,16,1610
2011-04-18,37,990
2011-04-18,45,224
2011-04-18,138,436
2011-04-18,169,209
2011-04-18,209,169
2011-04-18,224,45
2011-04-18,845,991
2011-04-18,990,37
2011-04-18,991,845
2011-04-18,1402,439
2011-04-18,1611,7550
2011-04-18,2454,4
2011-04-18,7550,1611
2011-04-19,4,145
2011-04-19,4,366
2011-04-19,4,772
2011-04-19,16,1922
2011-04-19,21,99
2011-04-19,23,1613
2011-04-19,45,993
2011-04-19,99,21
2011-04-19,99,2455
2011-04-19,129,99
2011-04-19,145,2456
2011-04-19,168,772
2011-04-19,298,23
2011-04-19,366,4
2011-04-19,441,1613
2011-04-19,505,993
2011-04-19,772,4
2011-04-19,993,45
2011-04-19,993,505
2011-04-19,1613,23
2011-04-19,1613,441
2011-04-19,1922,16
2011-04-19,2456,145
2011-04-20,2,774
2011-04-20,23,845
2011-04-20,109,990
2011-04-20,322,119
2011-04-20,419,1927
2011-04-20,774,2
2011-04-20,845,23
2011-04-20,990,109
2011-04-20,990,2457
2011-04-20,990,2458
2011-04-20,1927,419
2011-04-20,2457,990
2011-04-20,2458,990
2011-04-21,4,236
2011-04-21,16,419
2011-04-21,23,469
2011-04-21,72,99
2011-04-21,84,23
2011-04-21,84,99
2011-04-21,99,72
2011-04-21,99,84
2011-04-21,99,209
2011-04-21,106,272
2011-04-21,129,209
2011-04-21,129,1082
2011-04-21,209,99
2011-04-21,209,7550
2011-04-21,234,402
2011-04-21,272,106
2011-04-21,402,234
2011-04-21,419,16
2011-04-21,563,7550
2011-04-21,7550,209
2011-04-21,7550,563
2011-04-21,7582,990
2011-04-22,2,564
2011-04-22,2,2459
2011-04-22,16,7550
2011-04-22,21,235
2011-04-22,23,564
2011-04-22,167,419
2011-04-22,419,167
2011-04-22,439,1402
2011-04-22,564,2
2011-04-22,564,23
2011-04-22,2459,2
2011-04-22,7550,16
2011-04-23,4,224
2011-04-23,4,1085
2011-04-23,23,16
2011-04-23,40,1214
2011-04-23,119,235
2011-04-23,129,1085
2011-04-23,209,1087
2011-04-23,235,21
2011-04-23,235,119
2011-04-23,235,7552
2011-04-23,297,1915
2011-04-23,297,7437
2011-04-23,564,655
2011-04-23,772,168
2011-04-23,1085,129
2011-04-24,4,353
2011-04-24,4,401
2011-04-24,4,1087
2011-04-24,4,2465
2011-04-24,16,534
2011-04-24,16,7552
2011-04-24,21,7552
2011-04-24,45,1404
2011-04-24,45,1928
2011-04-24,63,1222
2011-04-24,129,1219
2011-04-24,224,2464
2011-04-24,297,1221
2011-04-24,298,655
2011-04-24,322,657
2011-04-24,353,4
2011-04-24,401,4
2011-04-24,534,16
2011-04-24,564,7552
2011-04-24,655,298
2011-04-24,657,322
2011-04-24,658,23
2011-04-24,771,4
2011-04-24,848,7552
2011-04-24,1085,4
2011-04-24,1087,4
2011-04-24,1209,379
2011-04-24,1221,297
2011-04-24,1222,63
2011-04-24,1404,45
2011-04-24,1915,297
2011-04-24,1928,45
2011-04-24,1928,209
2011-04-24,2464,224
2011-04-24,2465,4
2011-04-24,7552,16
2011-04-24,7552,21
2011-04-24,7552,564
2011-04-24,7552,715
2011-04-24,7552,848
2011-04-25,4,420
2011-04-25,16,565
2011-04-25,16,1925
2011-04-25,31,4
2011-04-25,99,563
2011-04-25,99,659
2011-04-25,99,3516
2011-04-25,129,1215
2011-04-25,129,1608
2011-04-25,209,565
2011-04-25,209,2466
2011-04-25,420,4
2011-04-25,438,439
2011-04-25,534,2460
2011-04-25,563,99
2011-04-25,565,16
2011-04-25,565,209
2011-04-25,565,1088
2011-04-25,659,99
2011-04-25,1078,353
2011-04-25,1088,252
2011-04-25,1088,565
2011-04-25,1915,145
2011-04-25,1925,16
2011-04-25,2460,534
2011-04-25,2466,209
2011-04-26,1,503
2011-04-26,4,37
2011-04-26,16,298
2011-04-26,23,119
2011-04-26,23,440
2011-04-26,63,565
2011-04-26,129,215
2011-04-26,129,502
2011-04-26,129,1609
2011-04-26,175,236
2011-04-26,224,2462
2011-04-26,236,175
2011-04-26,252,1088
2011-04-26,298,16
2011-04-26,353,438
2011-04-26,436,7437
2011-04-26,438,353
2011-04-26,440,23
2011-04-26,503,1
2011-04-26,565,63
2011-04-26,1222,7550
2011-04-26,1611,7552
2011-04-26,2462,224
2011-04-26,7552,1611
2011-04-27,4,16
2011-04-27,4,2468
2011-04-27,16,4
2011-04-27,16,503
2011-04-27,16,1090
2011-04-27,16,1222
2011-04-27,21,2
2011-04-27,40,1224
2011-04-27,42,109
2011-04-27,42,175
2011-04-27,45,42
2011-04-27,109,42
2011-04-27,145,2469
2011-04-27,175,42
2011-04-27,237,848
2011-04-27,848,237
2011-04-27,1090,16
2011-04-27,1222,16
2011-04-27,1926,37
2011-04-27,2468,4
2011-04-27,2469,145
2011-04-27,7582,4
2011-04-28,2,1222
2011-04-28,2,1409
2011-04-28,4,270
2011-04-28,4,2467
2011-04-28,16,37
2011-04-28,16,1409
2011-04-28,21,42
2011-04-28,23,772
2011-04-28,42,21
2011-04-28,109,1930
2011-04-28,129,119
2011-04-28,129,443
2011-04-28,129,607
2011-04-28,145,150
2011-04-28,150,145
2011-04-28,224,2471
2011-04-28,252,129
2011-04-28,353,443
2011-04-28,443,23
2011-04-28,443,129
2011-04-28,505,235
2011-04-28,772,23
2011-04-28,848,4
2011-04-28,848,997
2011-04-28,1083,1927
2011-04-28,1220,23
2011-04-28,1222,2
2011-04-28,1409,2
2011-04-28,1409,16
2011-04-28,2467,4
2011-04-28,2471,224
2011-04-28,7550,1222
2011-04-29,2,1090
2011-04-29,4,466
2011-04-29,16,100
2011-04-29,16,1091
2011-04-29,40,129
2011-04-29,40,717
2011-04-29,40,770
2011-04-29,91,441
2011-04-29,100,16
2011-04-29,129,169
2011-04-29,152,168
2011-04-29,168,4
2011-04-29,168,152
2011-04-29,168,996
2011-04-29,224,2472
2011-04-29,224,7552
2011-04-29,401,1611
2011-04-29,441,91
2011-04-29,715,7552
2011-04-29,717,40
2011-04-29,717,129
2011-04-29,770,40
2011-04-29,1090,2
2011-04-29,1090,2470
2011-04-29,1091,4
2011-04-29,1091,16
2011-04-29,1611,420
2011-04-29,2470,1090
2011-04-29,2472,224
2011-04-29,7552,224
2011-04-30,16,250
2011-04-30,16,1093
2011-04-30,23,848
2011-04-30,40,606
2011-04-30,63,718
2011-04-30,99,7552
2011-04-30,108,355
2011-04-30,113,353
2011-04-30,129,322
2011-04-30,167,237
2011-04-30,250,16
2011-04-30,250,715
2011-04-30,252,1930
2011-04-30,272,2476
2011-04-30,353,113
2011-04-30,353,996
2011-04-30,355,108
2011-04-30,534,2474
2011-04-30,715,250
2011-04-30,716,1606
2011-04-30,717,1413
2011-04-30,718,63
2011-04-30,848,23
2011-04-30,994,1
2011-04-30,997,848
2011-04-30,1093,16
2011-04-30,1220,129
2011-04-30,1413,717
2011-04-30,1606,716
2011-04-30,1930,109
2011-04-30,1930,252
2011-04-30,2474,534
2011-04-30,2476,272
2011-04-30,7552,99
2011-05-01,4,139
2011-05-01,4,535
2011-05-01,4,1088
2011-05-01,31,566
2011-05-01,37,16
2011-05-01,37,312
2011-05-01,37,561
2011-05-01,42,609
2011-05-01,42,840
2011-05-01,63,1083
2011-05-01,106,252
2011-05-01,129,998
2011-05-01,129,1227
2011-05-01,129,1228
2011-05-01,138,566
2011-05-01,201,506
2011-05-01,201,535
2011-05-01,223,910
2011-05-01,223,1413
2011-05-01,224,535
2011-05-01,236,1214
2011-05-01,251,2482
2011-05-01,252,106
2011-05-01,252,382
2011-05-01,270,4
2011-05-01,270,472
2011-05-01,270,1932
2011-05-01,293,473
2011-05-01,311,1089
2011-05-01,311,1096
2011-05-01,381,4
2011-05-01,382,252
2011-05-01,472,270
2011-05-01,472,2480
2011-05-01,473,293
2011-05-01,507,535
2011-05-01,507,609
2011-05-01,535,4
2011-05-01,535,201
2011-05-01,535,224
2011-05-01,535,507
2011-05-01,535,3516
2011-05-01,536,3516
2011-05-01,561,37
2011-05-01,563,1413
2011-05-01,566,31
2011-05-01,566,138
2011-05-01,566,911
2011-05-01,609,42
2011-05-01,609,507
2011-05-01,609,1089
2011-05-01,716,1220
2011-05-01,717,2478
2011-05-01,840,42
2011-05-01,910,223
2011-05-01,911,566
2011-05-01,1083,63
2011-05-01,1083,1095
2011-05-01,1088,4
2011-05-01,1089,311
2011-05-01,1089,609
2011-05-01,1095,1083
2011-05-01,1096,311
2011-05-01,1220,716
2011-05-01,1224,236
2011-05-01,1224,3516
2011-05-01,1226,2477
2011-05-01,1228,129
2011-05-01,1413,223
2011-05-01,1413,563
2011-05-01,1932,270
2011-05-01,2478,717
2011-05-01,2480,472
2011-05-01,2482,251
2011-05-01,3516,16
2011-05-01,3516,535
2011-05-01,3516,536
2011-05-02,2,238
2011-05-02,2,355
2011-05-02,2,382
2011-05-02,4,323
2011-05-02,4,1230
2011-05-02,16,3516
2011-05-02,37,54
2011-05-02,42,1618
2011-05-02,44,323
2011-05-02,44,1090
2011-05-02,45,533
2011-05-02,45,1933
2011-05-02,54,84
2011-05-02,63,1095
2011-05-02,84,54
2011-05-02,84,138
2011-05-02,84,381
2011-05-02,84,775
2011-05-02,84,1619
2011-05-02,129,194
2011-05-02,129,440
2011-05-02,129,717
2011-05-02,129,1416
2011-05-02,129,1921
2011-05-02,150,1098
2011-05-02,152,45
2011-05-02,251,381
2011-05-02,323,4
2011-05-02,323,44
2011-05-02,353,1916
2011-05-02,355,2
2011-05-02,381,84
2011-05-02,381,251
2011-05-02,382,2
2011-05-02,422,535
2011-05-02,438,505
2011-05-02,441,775
2011-05-02,466,658
2011-05-02,473,998
2011-05-02,505,438
2011-05-02,507,566
2011-05-02,533,45
2011-05-02,535,422
2011-05-02,536,7371
2011-05-02,564,1618
2011-05-02,566,507
2011-05-02,658,466
2011-05-02,658,7569
2011-05-02,775,84
2011-05-02,775,441
2011-05-02,775,998
2011-05-02,998,473
2011-05-02,998,775
2011-05-02,1090,44
2011-05-02,1095,63
2011-05-02,1098,150
2011-05-02,1216,129
2011-05-02,1230,4
2011-05-02,1416,23
2011-05-02,1611,4
2011-05-02,1618,42
2011-05-02,1618,564
2011-05-02,1619,84
2011-05-02,1914,7327
2011-05-02,1916,353
2011-05-02,7371,536
2011-05-02,7569,4
2011-05-02,7569,84
2011-05-02,7569,606
2011-05-02,7569,658
2011-05-03,4,109
2011-05-03,4,1611
2011-05-03,4,2485
2011-05-03,4,7569
2011-05-03,16,42
2011-05-03,16,993
